Date,Open,High,Low,Close,Volume,Ex_Dividend,Split_Ratio,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume,document_type,10-K,10-K405,10-Q,424B2,424B3,424B5,8-A12B,8-K,CERTNYS,CORRESP,DEF 14A,DEFA14A,DEFR14A,DFAN14A,FWP,NO ACT,NT 10-K,NT 10-Q,PRE 14A,PX14A6G,S-3,S-3ASR,S-4,S-8,SC 13D,SC 13G,SC TO-I,SD,UPLOAD
1994-12-13,36.63,36.94,36.25,36.38,1064300.0,0.0,1.0,1.1635952885874,1.1734428053622,1.1515241389923998,1.1556537428012,29800400.0,10-K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-01-10,41.25,44.0,41.25,43.69,5489200.0,0.0,1.0,1.3103550547155,1.3977120583632,1.3103550547155,1.3878645415884,153697600.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995-02-06,40.75,40.75,39.5,40.5,2169900.0,0.0,1.0,1.2944719631432,1.2944719631432,1.2547642342124,1.2865304173571002,60757200.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995-02-07,40.38,41.0,40.0,40.81,1800000.0,0.0,1.0,1.2827184753797,1.3024135089293998,1.2706473257848,1.2963779341319,50400000.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995-02-09,42.13,43.88,42.13,43.63,4244600.0,0.0,1.0,1.3383092958828,1.3939001163858995,1.3383092958828,1.3859585705997,118848800.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-02-14,43.75,44.13,42.63,42.94,1478700.0,0.0,1.0,1.3935824545543998,1.4056867135883,1.3579067437178,1.3677812708244,41403600.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995-03-06,39.75,40.0,39.5,39.75,1185000.0,0.0,1.0,1.2661692015666,1.2741325298783,1.2582058732548995,1.2661692015666,33180000.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995-05-15,43.13,43.75,42.5,43.63,3512100.0,0.0,1.0,1.3738334003413,1.3935824545543998,1.3537658129957,1.3897600569648,98338800.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-06-16,43.88,44.0,43.5,43.88,796500.0,0.0,1.0,1.401652333654,1.4054854758609,1.3895140499988,1.401652333654,22302000.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995-06-16,43.88,44.0,43.5,43.88,796500.0,0.0,1.0,1.401652333654,1.4054854758609,1.3895140499988,1.401652333654,22302000.0,S-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1995-07-07,46.88,49.25,46.75,48.63,3456400.0,0.0,1.0,1.4974808888262998,1.5731854474125,1.4933283181022,1.5533808793435002,96779200.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995-08-11,42.88,43.13,41.88,43.06,1847600.0,0.0,1.0,1.3697094819299,1.3776951948609,1.3377666302058,1.3754591952401998,51732800.0,10-Q,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-10-10,34.38,35.0,33.63,34.69,3573800.0,0.0,1.0,1.1011566676473998,1.1210146412931,1.0771349253339,1.1110856544702,100066400.0,SC 13G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1995-11-13,40.25,41.25,40.0,40.88,2833700.0,0.0,1.0,1.2891668374871,1.3211958272383,1.2811595900493,1.3093451010304,79343600.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995-12-14,38.88,39.38,38.0,38.25,2977700.0,0.0,1.0,1.2491554739634,1.2652197161697,1.2208824076803,1.2289145287834,83375600.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995-12-14,38.88,39.38,38.0,38.25,2977700.0,0.0,1.0,1.2491554739634,1.2652197161697,1.2208824076803,1.2289145287834,83375600.0,SC 13D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1995-12-19,32.75,33.25,32.25,32.75,3847000.0,0.0,1.0,1.0522078645139,1.0682721067202,1.0361436223076,1.0522078645139,107716000.0,DEF 14A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
