document_type,description,file_number
424B8,Prospectus filed pursuant to Rule 424(b)(8)Acc-no: 0001615774-18-005816 (33 Act)  Size: 269 KB,333-22267218924047
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005822 (33 Act)  Size: 492 KB,333-22267218924218
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005824 (33 Act)  Size: 234 KB,333-22267218924347
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005825 (33 Act)  Size: 193 KB,333-22267218924355
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005796 (33 Act)  Size: 154 KB,333-22267218922657
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005828 (33 Act)  Size: 117 KB,333-22267218924441
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005826 (33 Act)  Size: 211 KB,333-22267218924370
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005007 (33 Act)  Size: 146 KB,333-22267218924827
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005848 (33 Act)  Size: 626 KB,333-22267218924760
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005004 (33 Act)  Size: 116 KB,333-22267218924745
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005847 (33 Act)  Size: 522 KB,333-22267218924732
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005008 (33 Act)  Size: 132 KB,333-22267218924830
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005842 (33 Act)  Size: 553 KB,333-22267218924597
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005840 (33 Act)  Size: 206 KB,333-22267218924593
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005838 (33 Act)  Size: 193 KB,333-22267218924509
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005837 (33 Act)  Size: 192 KB,333-22267218924505
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005834 (33 Act)  Size: 193 KB,333-22267218924478
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005845 (33 Act)  Size: 448 KB,333-22267218924694
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005063 (33 Act)  Size: 285 KB,333-22267218929131
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005961 (33 Act)  Size: 302 KB,333-22267218928424
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005964 (33 Act)  Size: 215 KB,333-22267218928506
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005965 (33 Act)  Size: 231 KB,333-22267218928510
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005968 (33 Act)  Size: 313 KB,333-22267218928581
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005969 (33 Act)  Size: 224 KB,333-22267218928589
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005970 (33 Act)  Size: 644 KB,333-22267218928620
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005972 (33 Act)  Size: 217 KB,333-22267218928641
424B8,Prospectus filed pursuant to Rule 424(b)(8)Acc-no: 0001615774-18-005986 (33 Act)  Size: 26 KB,333-22267218928956
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005990 (33 Act)  Size: 497 KB,333-22267218929134
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006012 (33 Act)  Size: 443 KB,333-22267218929914
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005064 (33 Act)  Size: 300 KB,333-22267218929145
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005992 (33 Act)  Size: 310 KB,333-22267218929191
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005993 (33 Act)  Size: 309 KB,333-22267218929220
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005068 (33 Act)  Size: 106 KB,333-22267218929356
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005073 (33 Act)  Size: 113 KB,333-22267218929771
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005075 (33 Act)  Size: 230 KB,333-22267218929924
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006013 (33 Act)  Size: 453 KB,333-22267218929927
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006014 (33 Act)  Size: 559 KB,333-22267218929940
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006019 (33 Act)  Size: 462 KB,333-22267218930068
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006022 (33 Act)  Size: 309 KB,333-22267218930164
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005991 (33 Act)  Size: 614 KB,333-22267218929140
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005960 (33 Act)  Size: 262 KB,333-22267218928416
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005957 (33 Act)  Size: 301 KB,333-22267218928346
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005954 (33 Act)  Size: 192 KB,333-22267218928234
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005048 (33 Act)  Size: 359 KB,333-22267218928388
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005906 (33 Act)  Size: 309 KB,333-22267218926524
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005029 (33 Act)  Size: 129 KB,333-22267218926535
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005030 (33 Act)  Size: 186 KB,333-22267218926538
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0000891092-18-005033 (34 Act)  Size: 759 KB,333-22267218926620
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005911 (33 Act)  Size: 328 KB,333-22267218926623
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005912 (33 Act)  Size: 327 KB,333-22267218926628
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005913 (33 Act)  Size: 309 KB,333-22267218926633
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005037 (33 Act)  Size: 193 KB,333-22267218926637
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005915 (34 Act)  Size: 1 MB,333-22267218926653
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0000891092-18-005035 (34 Act)  Size: 789 KB,333-22267218926624
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005921 (33 Act)  Size: 270 KB,333-22267218926803
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005917 (33 Act)  Size: 119 KB,333-22267218926660
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005047 (33 Act)  Size: 194 KB,333-22267218928177
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005952 (33 Act)  Size: 540 KB,333-22267218928172
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005944 (33 Act)  Size: 428 KB,333-22267218928136
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005933 (33 Act)  Size: 225 KB,333-22267218927748
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005953 (33 Act)  Size: 432 KB,333-22267218928182
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-005925 (34 Act)  Size: 1 MB,333-22267218926923
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005040 (33 Act)  Size: 265 KB,333-22267218926817
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005922 (33 Act)  Size: 272 KB,333-22267218926812
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-005924 (33 Act)  Size: 325 KB,333-22267218926925
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006053 (33 Act)  Size: 508 KB,333-22267218930480
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005082 (33 Act)  Size: 239 KB,333-22267218930517
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005081 (33 Act)  Size: 305 KB,333-22267218930512
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005080 (33 Act)  Size: 316 KB,333-22267218930509
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005079 (33 Act)  Size: 334 KB,333-22267218930505
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005078 (33 Act)  Size: 253 KB,333-22267218930500
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005077 (33 Act)  Size: 302 KB,333-22267218930494
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006055 (33 Act)  Size: 593 KB,333-22267218930485
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006054 (33 Act)  Size: 385 KB,333-22267218930482
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006052 (33 Act)  Size: 331 KB,333-22267218930472
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006033 (33 Act)  Size: 313 KB,333-22267218930378
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006048 (33 Act)  Size: 430 KB,333-22267218930443
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006049 (34 Act)  Size: 1 MB,333-22267218930441
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006045 (33 Act)  Size: 342 KB,333-22267218930436
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006046 (34 Act)  Size: 1 MB,333-22267218930434
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006042 (33 Act)  Size: 350 KB,333-22267218930428
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006043 (34 Act)  Size: 1 MB,333-22267218930426
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006040 (33 Act)  Size: 291 KB,333-22267218930421
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006039 (33 Act)  Size: 366 KB,333-22267218930419
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006037 (33 Act)  Size: 376 KB,333-22267218930410
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006035 (33 Act)  Size: 379 KB,333-22267218930396
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006051 (33 Act)  Size: 511 KB,333-22267218930469
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006056 (33 Act)  Size: 268 KB,333-22267218930531
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006064 (33 Act)  Size: 236 KB,333-22267218931777
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006067 (33 Act)  Size: 269 KB,333-22267218931788
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006065 (34 Act)  Size: 1 MB,333-22267218931782
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006099 (33 Act)  Size: 509 KB,333-22267218933406
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006095 (33 Act)  Size: 207 KB,333-22267218933226
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006096 (34 Act)  Size: 1 MB,333-22267218933223
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006091 (33 Act)  Size: 421 KB,333-22267218933164
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001615774-18-006092 (34 Act)  Size: 1 MB,333-22267218933159
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006101 (33 Act)  Size: 288 KB,333-22267218933445
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006082 (33 Act)  Size: 458 KB,333-22267218932699
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006081 (33 Act)  Size: 323 KB,333-22267218932631
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005095 (33 Act)  Size: 207 KB,333-22267218932224
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005093 (33 Act)  Size: 201 KB,333-22267218932023
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006069 (33 Act)  Size: 193 KB,333-22267218931973
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008139 (33 Act)  Size: 179 KB,333-22267218931830
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005104 (33 Act)  Size: 265 KB,333-22267218932961
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006190 (33 Act)  Size: 313 KB,333-22267218937812
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006189 (33 Act)  Size: 337 KB,333-22267218937789
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008291 (33 Act)  Size: 468 KB,333-22267218937784
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006186 (33 Act)  Size: 446 KB,333-22267218937719
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006182 (33 Act)  Size: 304 KB,333-22267218937218
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006176 (33 Act)  Size: 899 KB,333-22267218937019
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006178 (33 Act)  Size: 216 KB,333-22267218937073
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006175 (33 Act)  Size: 313 KB,333-22267218937011
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008278 (33 Act)  Size: 211 KB,333-22267218936997
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006192 (33 Act)  Size: 462 KB,333-22267218937877
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006180 (33 Act)  Size: 322 KB,333-22267218937159
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006194 (33 Act)  Size: 331 KB,333-22267218937922
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006205 (33 Act)  Size: 207 KB,333-22267218938117
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006197 (33 Act)  Size: 343 KB,333-22267218937970
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006198 (33 Act)  Size: 139 KB,333-22267218937983
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006202 (33 Act)  Size: 662 KB,333-22267218938049
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006203 (33 Act)  Size: 408 KB,333-22267218938061
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005167 (33 Act)  Size: 164 KB,333-22267218938076
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006172 (33 Act)  Size: 285 KB,333-22267218936989
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006207 (33 Act)  Size: 314 KB,333-22267218938149
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006209 (33 Act)  Size: 729 KB,333-22267218938172
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006211 (33 Act)  Size: 255 KB,333-22267218938322
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006213 (33 Act)  Size: 462 KB,333-22267218938468
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008313 (33 Act)  Size: 238 KB,333-22267218938532
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008297 (33 Act)  Size: 283 KB,333-22267218937954
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006171 (33 Act)  Size: 331 KB,333-22267218936984
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006184 (33 Act)  Size: 233 KB,333-22267218937291
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006166 (33 Act)  Size: 218 KB,333-22267218936929
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006168 (33 Act)  Size: 220 KB,333-22267218936962
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006117 (33 Act)  Size: 608 KB,333-22267218934322
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008185 (33 Act)  Size: 263 KB,333-22267218934516
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005128 (33 Act)  Size: 264 KB,333-22267218935326
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005129 (33 Act)  Size: 201 KB,333-22267218935395
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006134 (33 Act)  Size: 504 KB,333-22267218935599
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006135 (33 Act)  Size: 562 KB,333-22267218935619
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006146 (33 Act)  Size: 242 KB,333-22267218936545
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008268 (33 Act)  Size: 209 KB,333-22267218936585
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006149 (33 Act)  Size: 181 KB,333-22267218936597
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008271 (33 Act)  Size: 275 KB,333-22267218936606
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000950103-18-008272 (33 Act)  Size: 162 KB,333-22267218936631
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006151 (33 Act)  Size: 317 KB,333-22267218936640
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005150 (33 Act)  Size: 239 KB,333-22267218936307
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006154 (33 Act)  Size: 450 KB,333-22267218936744
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005152 (33 Act)  Size: 228 KB,333-22267218936926
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006153 (33 Act)  Size: 641 KB,333-22267218936671
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006164 (33 Act)  Size: 206 KB,333-22267218936908
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006162 (33 Act)  Size: 211 KB,333-22267218936847
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006161 (33 Act)  Size: 251 KB,333-22267218936838
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006159 (33 Act)  Size: 513 KB,333-22267218936801
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006160 (33 Act)  Size: 201 KB,333-22267218936806
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006158 (33 Act)  Size: 313 KB,333-22267218936791
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006157 (33 Act)  Size: 313 KB,333-22267218936779
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006156 (33 Act)  Size: 313 KB,333-22267218936766
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006155 (33 Act)  Size: 335 KB,333-22267218936753
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031507 (34 Act)  Size: 646 KB,333-22267218940003
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031502 (34 Act)  Size: 626 KB,333-22267218940018
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031542 (34 Act)  Size: 701 KB,333-22267218940011
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031543 (34 Act)  Size: 689 KB,333-22267218940013
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031548 (34 Act)  Size: 617 KB,333-22267218940014
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031503 (34 Act)  Size: 652 KB,333-22267218940015
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031544 (34 Act)  Size: 777 KB,333-22267218940010
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031546 (34 Act)  Size: 613 KB,333-22267218940012
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031513 (34 Act)  Size: 666 KB,333-22267218940004
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031526 (34 Act)  Size: 624 KB,333-22267218940009
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031545 (34 Act)  Size: 1 MB,333-22267218940007
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031547 (34 Act)  Size: 616 KB,333-22267218940016
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031540 (34 Act)  Size: 840 KB,333-22267218940002
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031501 (34 Act)  Size: 653 KB,333-22267218940017
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006259 (33 Act)  Size: 296 KB,333-22267218941125
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031522 (34 Act)  Size: 628 KB,333-22267218939996
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031505 (34 Act)  Size: 652 KB,333-22267218940021
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031506 (34 Act)  Size: 652 KB,333-22267218940022
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031508 (34 Act)  Size: 645 KB,333-22267218940023
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031510 (34 Act)  Size: 621 KB,333-22267218940024
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031504 (34 Act)  Size: 652 KB,333-22267218940025
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006244 (33 Act)  Size: 279 KB,333-22267218940369
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006247 (33 Act)  Size: 350 KB,333-22267218940466
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006253 (33 Act)  Size: 210 KB,333-22267218940830
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006254 (33 Act)  Size: 195 KB,333-22267218940855
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006255 (33 Act)  Size: 195 KB,333-22267218940877
8-K,"Current report, items 8.01 and 9.01
Acc-no: 0001193125-18-213158 (34 Act)  Size: 27 KB",001-0580518940904
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006260 (33 Act)  Size: 693 KB,333-22267218941169
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031541 (34 Act)  Size: 798 KB,333-22267218940008
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031527 (34 Act)  Size: 587 KB,333-22267218939995
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031535 (34 Act)  Size: 659 KB,333-22267218940001
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031529 (34 Act)  Size: 648 KB,333-22267218939974
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031509 (34 Act)  Size: 629 KB,333-22267218939999
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006220 (33 Act)  Size: 665 KB,333-22267218938640
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005168 (33 Act)  Size: 203 KB,333-22267218938852
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005169 (33 Act)  Size: 197 KB,333-22267218938858
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005170 (33 Act)  Size: 222 KB,333-22267218938863
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005172 (33 Act)  Size: 234 KB,333-22267218938973
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005173 (33 Act)  Size: 108 KB,333-22267218938977
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031534 (34 Act)  Size: 650 KB,333-22267218940000
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0001615774-18-006238 (33 Act)  Size: 234 KB,333-22267218939764
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031530 (34 Act)  Size: 646 KB,333-22267218939973
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031528 (34 Act)  Size: 647 KB,333-22267218939979
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031531 (34 Act)  Size: 646 KB,333-22267218939975
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031539 (34 Act)  Size: 599 KB,333-22267218939977
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031525 (34 Act)  Size: 635 KB,333-22267218939976
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031537 (34 Act)  Size: 643 KB,333-22267218939981
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031536 (34 Act)  Size: 647 KB,333-22267218939984
424B2,Prospectus [Rule 424(b)(2)]Acc-no: 0000891092-18-005174 (33 Act)  Size: 109 KB,333-22267218938983
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031532 (34 Act)  Size: 644 KB,333-22267218939980
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031521 (34 Act)  Size: 625 KB,333-22267218939982
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031516 (34 Act)  Size: 636 KB,333-22267218939983
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031518 (34 Act)  Size: 633 KB,333-22267218939986
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031520 (34 Act)  Size: 646 KB,333-22267218939987
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031538 (34 Act)  Size: 649 KB,333-22267218939985
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031523 (34 Act)  Size: 628 KB,333-22267218939997
FWP,Filing under Securities Act Rules 163/433 of free writing prospectusesAcc-no: 0001140361-18-031514 (34 Act)  Size: 658 KB,333-22267218939988
